"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"11238","New York","NY","New York-Newark-Jersey City","Kings County",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,4190,4258.5,4000,4100,4100,4400,4100,4500,3999,4700,5100,4299,4500,4495.5,4500
"98012","Bothell","WA","Seattle-Tacoma-Bellevue","Snohomish County",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,2550,2600,2699,2650,2597.5,2550,2500,2499,2500,2495,2497.5,2650,2700,2647.5,2787.5,2797,2675,2675,2595,2600,2624.5,2675,2700,2700,2685,2695,2700,2792.5,2770,2695,2694
"33647","Tampa","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",40,,1850,1750,1885,2000,1975,1875,1800,1800,1750,1700,1750,1772.5,1872.5,1895,1900,1875,1895,1872.5,1895,1900,1800,1800,1800,1775,1800,1850,1900,1950,2000,2100,2000,1995,1990,2000,2000,1895,1850,1850,1850,1900,1917.5,1900,1897,1895,1850,1850,1910,1897.5,1895,1900,1925,1950,2000,1995,1950,1950,1925,1900,1850,1910,1940,1930,1950,1997.5,2000,1995,1995,2015,1910,1950,1975,1995,2000,1875,2025,2057.5,2095,2015,2000,2000,1997,1995,2000,1999.5,2000,2010,2100,2145,2125,2195,2050,2000,1995,2000,1995,2000,2022.5,2050,2185,2200,2195,2197.5,2097.5,2097.5
"11385","New York","NY","New York-Newark-Jersey City","Queens County",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3399.5,3500,3500,3500,3585,3499,3400,3400,3500,3500,3450,3500,3131,3350,3300,3200,3399,3400,3400,3500,3450,3300,3345,3500,3450,3302,3245,3250,3325,3400,3399,3400,3400,3400,3299.5,3200,3350,3350,3355,3200,3200,3300,3450,3395,3200
"92677","Laguna Niguel","CA","Los Angeles-Long Beach-Anaheim","Orange County",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4150,4150,4300,4300,4400,4300,4400,4200,3974.5,3950,4000,4345,4447.5,4100,4275,4500,4550,4250,4250,4150,4250,4225,4350,4425,4497.5,4697.5,4450,4350,4600,4900,4600,4495
"77845","College Station","TX","College Station-Bryan","Brazos County",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1835,1975,1800,1797.5,1850,1800,1787.5,1725,1700,1695,1600,1650,1800,1800,1800,1800,1897.5,1825,1800,1700,1700,1600,1600,1600,1600,1795,1800,1800,1800,1800,1795,1745,1700,1650,1600,1600
"60620","Chicago","IL","Chicago-Naperville-Elgin","Cook County",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1350,1300,1295,1253,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
"92336","Fontana","CA","Riverside-San Bernardino-Ontario","San Bernardino County",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2275,2295,2400,2400,2375,2450,2450,2497.5,2395,2350,2400,2450,2465,2450,2500,2500,2450,2450,2499,2450,2495,2462.5,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
"65203","Columbia","MO","Columbia","Boone County",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1350,1300,1300,1400,1550,1400,1325,1350,1350,1500,1500,1575,1697.5,1500,1500,1450,1500,1350,1400,1250,1300,1399
"77450","Cinco Ranch","TX","Houston-The Woodlands-Sugar Land","Fort Bend County",47,,,,,,,,,,,,,,,,2325,2350,2300,2400,2050,2100,1850,1885,2050,2300,2100,1947.5,2200,2200,2200,2300,2275,2300,2200,2400,2350,2025,2099.5,2000,2000,2200,2300,2250,2272.5,2200,2100,2100,1950,1995,1995,2100,2225,2250,2300,2300,2200,2200,2150,2187.5,2100,2095,2050,2200,2200,2425,2300,2100,1972.5,1995,1897.5,1900,1900,1900,1925,1950,1950,2000,2000,2074.5,2099.5,2100,2150,2125,2060,1990,1997.5,2100,2085,2000,2000,1999.5,1995,2000,1955,2000,2000,1999.5,2000,2000,2100,2000,2050,2100,2100,2195
